count,desc,id,percentage,smarts,smiles
2,nitro aromatic 2+,1048,20.0%,a-[N+](=O)[O-].a-[N+](=O)[O-],"['O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1', 'O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-]']"
2,Hetero_hetero,1064,20.0%,"*[N,S,O]-&!@[N,S,O][#6]","['O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1', 'O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-]']"
2,Filter56_SS_bond,1157,20.0%,S-S,"['O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1', 'O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-]']"
2,aromatic NO2,1195,20.0%,O~N(=O)-c(:*):*,"['O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1', 'O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-]']"
1,Michael acceptor,113,10.0%,"C=!@CC=[O,S]",['C(=Cc1ccccc1)C1=[O+][Cu-3]2([O+]=C(C=Cc3ccccc3)CC(c3ccccc3)=[O+]2)[O+]=C(c2ccccc2)C1']
1,vinyl michael acceptor1,1069,10.0%,"[#6]-[CH1]=C-C(=O)[#6,#7,#8]",['C(=Cc1ccccc1)C1=[O+][Cu-3]2([O+]=C(C=Cc3ccccc3)CC(c3ccccc3)=[O+]2)[O+]=C(c2ccccc2)C1']
1,alpha beta-unsaturated ketones; center of Michael reactivity,1228,10.0%,"[$(C#N),$(N(~O)~O),$(C=O),$(S(=O)=O),$(C(F)(F)F),Cl][C!H0]=[C!H0]",['C(=Cc1ccccc1)C1=[O+][Cu-3]2([O+]=C(C=Cc3ccccc3)CC(c3ccccc3)=[O+]2)[O+]=C(c2ccccc2)C1']
1,aniline,66,10.0%,c1cc([NH2])ccc1,['Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1']
1,stilbene,143,10.0%,c1ccccc1C=Cc2ccccc2,['Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1']
1,analine,964,10.0%,"c1ccccc1[NH2,NH3+]",['Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1']
1,Dye 25,1043,10.0%,acC=&!@Cca,['Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1']
1,aniline,1199,10.0%,[NH2D1]-c(:*):*,['Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1']
1,phosphor,132,10.0%,P,['CCOP(=O)(Nc1cccc(Cl)c1)OCC']
1,phosphorous_nitrogen_bond,294,10.0%,"[#15]~[N,n]",['CCOP(=O)(Nc1cccc(Cl)c1)OCC']
1,Phosphoric ester,1083,10.0%,COP(=O)(-*)O,['CCOP(=O)(Nc1cccc(Cl)c1)OCC']
1,alkyl esters of S or P,1204,10.0%,"[S,P](=O)OC",['CCOP(=O)(Nc1cccc(Cl)c1)OCC']
1,Michael acceptor,116,10.0%,C=C(C=O)C=O,['CC1=C2C(=COC(C)C2C)C(O)=C(C(=O)O)C1=O']
1,gte_4_nitro,241,10.0%,"[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)].[$([N+](=O)[O-]),$(N(=O)=O)]",['O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1']
1,Dinitrobenzene_3,871,10.0%,c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1,['O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1']
